,0,1,2,3,4,5,6,7,8,9
12,37i9dQZF1DX10zKzsJ2jva,2uky0VCI2EZni0nArOPznM,0.456,0.91,0.136,0.256,0.0,0.0921,0.329,95.927
13,37i9dQZF1DX10zKzsJ2jva,7kYbxvrGXv8cmKjkqgqhrw,0.801,0.633,0.0777,0.414,0.0,0.27,0.676,92.025
14,37i9dQZF1DX10zKzsJ2jva,3XjN0mvFkQp1FMVM9Ro5hm,0.685,0.909,0.0396,0.0471,0.0,0.35,0.922,95.004
15,37i9dQZF1DX10zKzsJ2jva,5xhFO6kaUjGcSezSp5hIhG,0.817,0.932,0.0467,0.0938,0.0284,0.0792,0.396,126.008
16,37i9dQZF1DX10zKzsJ2jva,0OTNHGKcqQbk51bOYe462Y,0.802,0.846,0.207,0.233,1.92e-05,0.114,0.26,109.982
17,37i9dQZF1DX10zKzsJ2jva,0bBd6K5X4W7t9GyXcaVOA7,0.889,0.641,0.0668,0.0515,2.75e-05,0.19,0.588,87.99
18,37i9dQZF1DX10zKzsJ2jva,30W8VKHrAZmHzObnwAoc1u,0.683,0.714,0.252,0.181,1e-06,0.111,0.448,173.963
19,37i9dQZF1DX10zKzsJ2jva,2rDZhKnPaPG054ExZ6nXUS,0.796,0.68,0.37,0.0575,0.000683,0.103,0.71,179.923
20,37i9dQZF1DX10zKzsJ2jva,1xqbfjRuUw0ot43wgBuVkt,0.776,0.629,0.0505,0.0268,0.0,0.114,0.104,97.066
21,37i9dQZF1DX10zKzsJ2jva,4srcMdbm2qzVG98tJajHxp,0.83,0.739,0.0627,0.136,2.11e-06,0.162,0.631,97.993
22,37i9dQZF1DX10zKzsJ2jva,0LKu09Iq053CEUZ5ktQEWc,0.773,0.767,0.0819,0.0352,0.0,0.299,0.49,94.99
23,37i9dQZF1DX10zKzsJ2jva,6lX6l7OuA3qrnIRfdsr0dw,0.787,0.7,0.0768,0.568,0.00051,0.663,0.791,90.02
